ID,source,tweetId,label,instance,start,end,tweetText,notes
1,lightTag,'451459804704567297',location modifier,in,83,85,RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??,
2,lightTag,'451459804704567297',place name,Chile,87,92,RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??,
3,lightTag,'451411290951782400',place name,Chile,44,49,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,
4,lightTag,'451411290951782400',location modifier,the coast,124,133,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,
5,lightTag,'451411290951782400',type of impact,tsunamis,90,98,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,not sure about this as impact type
6,lightTag,'382861569442713600',location modifier,in,46,48,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,
7,lightTag,'382861569442713600',place name,Balochistan,91,102,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,
8,lightTag,'382861569442713600',type of impact,creates,59,66,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,
9,lightTag,'382861569442713600',location modifier,off the coast of,74,90,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,
10,lightTag,'382861569442713600',place name,Pakistan,50,58,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,
