,label,instance,tweetText,tweetId,latitude,longitude
0,place name,Chile,RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??,'451459804704567297',-30,-71
1,place name,Chile,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,'451411290951782400',-30,-71
2,place name,Balochistan,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,'382861569442713600',28.47849,65.64355
3,place name,Pakistan,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,'382861569442713600',30,70
4,location modifier,in,RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??,'451459804704567297',,
5,location modifier,the coast,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,'451411290951782400',,
6,type of impact,tsunamis,RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??,'451411290951782400',,
7,location modifier,in,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,'382861569442713600',,
8,type of impact,creates,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,'382861569442713600',,
9,location modifier,off the coast of,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,'382861569442713600',,
